name,J-cat Score,task,Sentence Length,Clause Length,Clauses per Sentence,CC Freq,SC Freq,CTTR
CCH11,261.0,m3,14.722751322751323,8.62962962962963,1.6888888888888889,0.4092618538455866,5.886005883501476,5.009025280000655
CCH11,261.0,m2,14.687896825396825,9.284722222222223,1.6208333333333333,0.30694639038418997,5.700218698340393,5.026259859084506
CCH12,282.0,m1,12.625,6.583333333333334,1.625,0.0,6.9306930693069315,4.925182813112043
CCH12,282.0,m2,17.229166666666664,7.3916666666666675,1.8958333333333333,0.0,7.2821404277832364,4.841129349934601
CCH12,282.0,m3,15.300925925925926,7.557407407407408,1.7453703703703702,0.0,6.4728832625351025,4.876354367113229
CCH12,282.0,e,15.365694444444443,8.01138888888889,1.7290277777777776,0.06426735218508997,6.204276842788216,4.93896537198038
CCH12,282.0,m1,12.625,6.583333333333334,1.625,0.0,6.9306930693069315,4.925182813112043
CCH12,282.0,m2,17.229166666666664,7.3916666666666675,1.8958333333333333,0.0,7.2821404277832364,4.841129349934601
CCH12,282.0,m3,15.300925925925926,7.557407407407408,1.7453703703703702,0.0,6.4728832625351025,4.876354367113229
CCH12,282.0,e,15.365694444444443,8.01138888888889,1.7290277777777776,0.06426735218508997,6.204276842788216,4.93896537198038
CCH13,227.0,e,18.210526315789473,13.157894736842104,1.4210526315789473,0.8670520231213872,4.624277456647398,5.398030041014909
